id,contact_id,address_type,line1,line2,city,region,postcode,country,start_date,end_date
6baf2f04-4c82-564e-a743-0845eb4a1a4c,9640e768-eb89-582f-968e-25d1324bba64,home,646 Mason parkways,,Shannonburgh,Pembrokeshire,TA2H 7LJ,United Kingdom,2026-01-01,
8af22af9-7d43-5238-ac57-5c8c7d3addca,429bf62c-b37f-55c0-a176-dbb513564535,home,605 Francis rapids,,Cooperborough,Northumberland,EN43 8AY,United Kingdom,2026-01-01,
ae36243e-58a3-5f05-864c-ce1a917b4e60,06cea260-a8dd-53d9-93a4-0a5a47de755e,home,"Studio 25l
Rita rapid",,Evansborough,Essex,N26 5RA,United Kingdom,2026-01-01,
994c093b-96b6-5197-983f-748e27fd5b03,2ed0f6b7-8165-5709-a112-47fcd13a3b82,home,2 Gareth fall,,Brownville,Fife,JE9 1DN,United Kingdom,2026-01-01,
8125a690-49eb-5f55-b166-7501aebe8274,f0676f5d-b64c-527e-9fe4-801b44eddb83,home,"Studio 94
Hill field",,South Jane,Caernarvonshire,B9 2HD,United Kingdom,2026-01-01,
164835c2-e4e0-5249-93df-eda365bee264,5d74374f-958a-5e5d-a908-353a60981f22,home,163 Kay trafficway,,Zoefort,West Yorkshire,KA70 2QE,United Kingdom,2026-01-01,
638c816a-284e-5e75-a5b4-fe179b381942,14ef1547-518d-5163-8234-c8c850269841,home,"Flat 5
Liam lights",,New Debra,Anglesey,RH5 0YQ,United Kingdom,2026-01-01,
6c4c9c87-e63d-5fa7-91dc-cbeee892e195,d37607d9-4dcb-55ee-a855-bcfbb12ab52b,home,02 Baker circles,,Mitchellbury,Orkney Islands,N9 8AG,United Kingdom,2026-01-01,
3a7bf13c-46b9-581e-85b2-9c1d41c00c5e,fe392ae7-2066-5f45-8dba-451abe6a6b22,home,114 Joanne vista,,East Jayneton,Bedfordshire,M4D 3NN,United Kingdom,2026-01-01,
5125eced-a663-5ac8-9059-2f8c14f10246,bcd4e50d-a086-51aa-bf4a-6a3b0cb208e7,home,"Flat 8
James roads",,Younghaven,Armagh,SO6 0WG,United Kingdom,2026-01-01,
655122b2-b376-53e6-9ea0-4d8059bb3338,19cdfe76-77ee-5b64-ab74-64cb5b155900,home,90 Gillian orchard,,Jarvismouth,Denbighshire,L93 9TJ,United Kingdom,2026-01-01,
1ea828d3-7123-5512-bf6e-8c9e6d46d24c,b2bb188b-41c1-528c-bf27-379b78187379,home,735 Goodwin crest,,North Jamiemouth,Hertfordshire,GY7 0ZY,United Kingdom,2026-01-01,
d81f05e6-10e4-5f36-9154-0b5a98ec6d41,6cc39d05-66f9-584b-bd89-ca166f1c7ac1,home,"Flat 3
Jason manor",,West Sylviaton,West Yorkshire,ML2 7HZ,United Kingdom,2026-01-01,
1aa180e8-49b4-5f7d-9e0e-a7a77d6f4609,e720385b-ae15-5bf0-b2f7-35cf3f25de8f,home,533 Debra lodge,,Thomasport,East Lothian,L44 4WL,United Kingdom,2026-01-01,
369595bd-22a7-5be6-86f1-fbf589c9d4e5,16ec0249-98cd-59e0-a3e0-ad8ceb1f96e5,home,"Studio 75
Angela mountain",,Leeland,Argyll and Bute,W9 6RW,United Kingdom,2026-01-01,
2d6c7fc6-e24a-5898-9576-59fd89ea3f2e,c8360ad1-e880-50c0-b615-0ddd1203d00b,home,024 Hayward heights,,Emmaborough,Warwickshire,M5 5HL,United Kingdom,2026-01-01,
5aaca2b1-271a-51b0-85d5-85caeb155336,4a721be8-77cb-5a60-940f-0801b137117c,home,524 Julie expressway,,Murrayhaven,West Dunbartonshire,JE90 0RZ,United Kingdom,2026-01-01,
710220f2-92fb-5ceb-85b2-de0eaee6b3d4,3fca11cb-99fd-5a1b-9a30-7658d15b1c10,home,6 Todd points,,Smithport,Falkirk,W2T 7SN,United Kingdom,2026-01-01,
bb3295a0-793e-54ce-a704-496478c2bba7,41b96f4a-b33f-5f91-bb0f-ccc37ce3c7b0,home,5 Lynn burgs,,Lake Pauline,Leicestershire,M0S 4RX,United Kingdom,2026-01-01,
967937ed-d027-52a0-bcca-4fe95838b8eb,5b10e6c6-ddea-58cb-a783-ab585fd5e556,home,"Studio 2
Diana oval",,West Shannon,Glasgow City,M59 6ZZ,United Kingdom,2026-01-01,
aba26f9c-d33a-5d6c-a56b-aad4b2b264d0,634be0ee-3d03-58d0-9640-1b843956564f,home,9 Marsden loaf,,Walshchester,Shetland Islands,DT5 0DW,United Kingdom,2026-01-01,
a6ccc437-ce2b-567e-8c8a-5a081b759807,b70cf02f-488c-568e-b32f-8bda4aa819cd,home,995 Barry corner,,New Mollyport,Renfrewshire,TF6 8UX,United Kingdom,2026-01-01,
cfa1d6f3-b2a3-5eea-8271-7bf9bb436b37,76ffa814-d320-57b5-8314-c4012dda389a,home,"Flat 84b
Burton street",,Lake Benjamin,Breconshire,M26 1HG,United Kingdom,2026-01-01,
4b378b32-efe0-5e0c-b89b-3fddf1b74acd,d5997255-7316-5024-9d45-211aaeea9a2a,home,0 Dennis hills,,Kathrynfurt,Falkirk,E46 5PL,United Kingdom,2026-01-01,
d12a29db-26e1-555a-9c05-b2a4f69260fb,91541cfb-71f6-5901-a9e6-e7139d8590de,home,863 Ben route,,West Charlottehaven,West Yorkshire,G0W 4PZ,United Kingdom,2026-01-01,
a18155a1-abbc-5ad0-955d-dadc3c198310,6b7e2826-a475-5c7e-bc8c-2ee354257b3f,home,04 Jeremy lake,,South Brandonmouth,Cambridgeshire,G0D 6GT,United Kingdom,2026-01-01,
2bda2be0-da3e-577d-ac66-f2bd945235d7,d531aed9-dbfb-594e-8d48-fbaa3a36b7bd,home,892 Tracey locks,,Lake Nicolemouth,North Yorkshire,B3 0AP,United Kingdom,2026-01-01,
97ce5a50-c9a6-5939-b1ad-2e35e9f5aa68,d17e9bbf-1ad5-5999-88c9-c8e9dc916776,home,7 Perry port,,West Sylvialand,East Sussex,CM04 9ZF,United Kingdom,2026-01-01,
e21953ef-be4f-592a-8f50-69b086d7889a,53a6d0dd-0b2f-59d4-b691-f85c37d7b210,home,"Studio 6
Victor forges",,Victormouth,Staffordshire,M3 5JD,United Kingdom,2026-01-01,
9a4e75b8-76e4-505f-b847-04c7c238a9d1,fd15ce84-3ca2-5142-ac50-441d79e214f3,home,667 Carolyn crescent,,Janiceshire,North Ayrshire,L73 9LY,United Kingdom,2026-01-01,
c956f318-a3c2-58f6-8051-dcb50674884d,1559961b-7df6-58c6-8135-3d22a69ecdc9,home,8 George island,,Lawrenceview,Antrim,HU2R 0DA,United Kingdom,2026-01-01,
05b8d875-dab2-5811-a8ae-46bb4ceebd06,dbab6365-f1c9-5df9-88e2-cd9edcc0b38f,home,"Studio 08
Harrison glens",,North Billyville,Orkney Islands,S9 3ZE,United Kingdom,2026-01-01,
f5afb04b-90aa-54dc-a505-e149f73ef057,cc43eeaa-d238-550e-8332-4328a9e814c3,home,"Studio 11
Marc spring",,East Ruthchester,Pembrokeshire,BN6H 1YA,United Kingdom,2026-01-01,
